"","Player","Pos","Team","year","Age","G","PERz","WSper48z","BPMz","VORPz","score"
"4230","Dennis Johnson","PG","BOS",1986,31,78,0.15,0.48,0.41,0.61,1.65
"4893","Drazen Petrovic","SG","POR",1990,25,77,0.35,0.87,0.55,-0.12,1.65
"5914","George Johnson","C","SAS",1981,32,82,-0.14,0.37,0.81,0.61,1.65
"7011","Jamal Mashburn","SF","MIA",2000,27,76,0.32,0.31,0.41,0.61,1.65
"8852","Julian Wright","SF","NOH",2008,20,57,0.32,0.63,0.89,-0.19,1.65
"11379","Meyers Leonard","C","POR",2015,22,55,0.18,1.22,0.44,-0.19,1.65
"13625","Ricky Rubio","PG","UTA",2018,27,77,0.32,0.37,0.48,0.47,1.65
"14309","Sam Perkins","PF","SEA",1998,36,81,-0.12,0.68,0.74,0.34,1.65
"16890","Willie Reed","C","MIA",2017,26,71,0.74,1.41,-0.11,-0.38,1.65
"544","Andray Blatche","PF","BRK",2014,27,73,1.15,0.31,0.22,-0.05,1.64
"4536","Devin Harris","PG","DAL",2005,21,76,0.15,0.35,0.92,0.21,1.64
"8579","Jon Barry","SG","HOU , ATL",2005,35,69,-0.17,0.61,0.85,0.34,1.64
"9791","Kyle Korver","SG","ATL",2014,32,71,-0.14,0.48,0.63,0.67,1.64
"11732","Mike Gminski","C","PHI , NJN",1988,28,81,0.66,0.24,0.26,0.47,1.64
"12220","Nick Anderson","SG","ORL",1997,29,63,-0.07,0.02,0.89,0.8,1.64
"13817","Rodney McCray","SF","HOU",1986,24,82,-0.12,0.43,0.59,0.74,1.64
"14890","Sleepy Floyd","PG","HOU",1991,30,82,0.49,0.07,0.66,0.41,1.64
"16172","Trevor Ariza","SF","WAS",2013,27,56,-0.02,0.19,1,0.47,1.64
"3650","Danny Manning","PF","LAC",1990,23,71,0.54,0.37,0.37,0.34,1.63
"8447","John Starks","SG","NYK",1996,30,81,0.03,0.33,0.59,0.67,1.63
"10263","Lindsey Hunter","PG","MIL",2001,30,82,0.18,0.31,0.66,0.47,1.63
"10795","Marcus Smart","SG","BOS",2020,25,53,-0.02,0.43,0.81,0.41,1.63
"11157","Mason Plumlee","C","DEN",2018,27,74,0.69,0.52,0.41,0.01,1.63
"12614","Patrick Ewing","C","NYK",1986,23,50,0.81,-0.15,0.63,0.34,1.63
"13007","Raef LaFrentz","C","DEN",2000,23,81,0.54,0.44,0.3,0.34,1.63
"14974","Stacey Augmon","SG","ATL",1995,26,76,0.47,0.2,0.48,0.47,1.63
"269","Albert King","SF","NJN",1983,23,79,0.37,0.37,0.41,0.47,1.62
"1707","Brad Davis","PG","DAL",1981,25,56,0.57,0.5,0.41,0.14,1.62
"2656","Chris Bosh","PF","TOR",2005,20,81,0.84,0.3,0.15,0.34,1.62
"3231","Cory Joseph","SG","SAS",2014,22,68,0.15,1.04,0.55,-0.12,1.62
"4009","David Thompson","SG","SEA",1983,28,75,0.49,0.52,0.33,0.28,1.62
"4543","Devin Harris","PG","UTA",2012,28,63,0.47,0.43,0.52,0.21,1.62
"7325","Jarrett Jack","SG","GSW",2013,29,79,0.45,0.43,0.41,0.34,1.62
"7429","Jason Richardson","SG","GSW",2004,23,78,0.66,-0.13,0.41,0.67,1.62
"8815","Jrue Holiday","PG","PHI",2011,20,82,0.32,0.04,0.52,0.74,1.62
"10103","Latrell Sprewell","SG","GSW",1996,25,78,0.45,-0.11,0.48,0.8,1.62
"11285","Maurice Evans","SG","ORL , LAL",2008,29,75,-0.04,0.8,0.59,0.28,1.62
"12044","Morris Peterson","SF","TOR",2002,24,63,0.3,0.5,0.48,0.34,1.62
"12704","Paul Millsap","PF","UTA",2008,22,82,0.49,1.04,0.15,-0.05,1.62
"13398","Reggie Theus","SG","KCK",1985,27,82,0.71,-0.11,0.48,0.54,1.62
"14009","Ronny Turiaf","C","LAL",2008,25,78,0.23,0.83,0.48,0.08,1.62
"15683","Tim Legler","SG","DAL",1994,27,79,0.49,0.59,0.52,0.01,1.62
"16122","Tree Rollins","C","ATL",1984,28,77,0.03,0.39,0.59,0.61,1.62
"16889","Willie Reed","C","BRK",2016,25,39,1.25,0.78,0.04,-0.45,1.62
"1288","Benoit Benjamin","C","LAC",1989,24,79,0.81,0.06,0.33,0.41,1.61
"4128","DeJuan Blair","PF","SAS",2010,20,82,0.88,1.02,-0.04,-0.25,1.61
"4246","Dennis Rodman","PF","CHI",1997,35,55,-0.04,1.04,0.41,0.21,1.61
"5154","Eddie House","PG","BOS",2008,29,78,-0.26,0.65,0.89,0.34,1.61
"7599","Jeff Foster","C","IND",2005,28,61,0.32,1.29,0.11,-0.12,1.61
"8335","John Henson","C","MIL",2016,25,57,1.1,0.46,0.3,-0.25,1.61
"9106","Kelly Olynyk","C","MIA",2020,28,59,0.15,0.89,0.63,-0.05,1.61
"9193","Kendrick Perkins","C","BOS",2008,23,78,-0.19,1.18,0.41,0.21,1.61
"9485","Kevin Martin","SG","MIN",2014,30,68,0.54,0.46,0.33,0.28,1.61
"33","Aaron Brooks","PG","HOU",2010,25,82,0.47,-0.02,0.48,0.67,1.6
"2348","Carmelo Anthony","SF","DEN",2004,19,82,0.86,0.11,0.22,0.41,1.6
"2821","Chris Mullin","SG","GSW",1987,23,82,0.42,0.22,0.48,0.47,1.6
"3001","CJ McCollum","SG","POR",2020,28,62,0.81,-0.24,0.55,0.47,1.6
"7135","James Jones","SF","POR",2008,27,58,-0.12,0.87,0.7,0.14,1.6
"8714","Jose Calderon","PG","TOR",2010,28,68,0.59,0.35,0.44,0.21,1.6
"9945","LaPhonso Ellis","PF","DEN",1997,26,55,1.01,-0.09,0.41,0.28,1.6
"12487","Otis Birdsong","SG","NJN",1984,28,69,0.66,0.15,0.44,0.34,1.6
"12923","Purvis Short","SF","GSW",1983,25,67,0.86,0.2,0.26,0.28,1.6
"12969","Quinn Buckner","PG","MIL",1981,26,82,0.25,0.3,0.52,0.54,1.6
"13791","Rod Strickland","PG","WAS",2000,33,69,0.74,-0.2,0.59,0.47,1.6
"14054","Roy Hibbert","C","IND",2013,26,79,0.79,0.68,0.11,0.01,1.6
"14590","Sedale Threatt","PG","LAL",1995,33,59,0.42,0.72,0.44,0.01,1.6
"15442","Terry Cummings","PF","SAS",1991,29,67,0.54,0.56,0.3,0.21,1.6
"15913","Tony Battie","C","BOS",2003,26,67,0.27,1.33,0.11,-0.12,1.6
"3135","Cody Zeller","C","CHO",2020,27,58,1.15,0.68,0,-0.25,1.59
"5204","Eddie Robinson","SF","CHH",2000,23,67,0.57,0.7,0.44,-0.12,1.59
"8618","Jonas Jerebko","PF","DET , BOS",2015,27,75,0.23,0.8,0.55,0.01,1.59
"9477","Kevin Martin","SG","SAC",2006,22,72,0.18,0.83,0.37,0.21,1.59
"12190","Nene","C","DEN",2003,20,80,0.32,0.28,0.52,0.47,1.59
"15163","Steve Kerr","PG","CHI",1998,32,50,-0.29,1.28,0.59,0.01,1.59
"15234","Steven Adams","C","OKC",2017,23,80,0.59,0.7,0.15,0.14,1.59
"249","Alan Henderson","SF","ATL",1999,26,38,0.47,0.72,0.44,-0.05,1.58
"1789","Brandon Bass","PF","BOS",2015,29,82,0.54,0.74,0.22,0.08,1.58
"1881","Brevin Knight","PG","CLE",1999,23,39,0.62,0.15,0.74,0.08,1.58
"6500","Herb Williams","C","IND",1982,23,82,0.49,0.09,0.52,0.47,1.58
"6948","Jalen Rose","SF","IND , CHI",2002,29,83,0.66,-0.09,0.33,0.67,1.58
"8134","Joe Ingles","SF","UTA",2017,29,82,-0.41,0.57,0.81,0.61,1.58
"10243","Lewis Lloyd","SG","GSW",1983,23,73,0.74,0,0.7,0.14,1.58
"12215","Nick Anderson","SG","ORL",1992,24,60,0.57,-0.26,0.66,0.61,1.58
"14975","Stacey Augmon","SF","ATL",1996,27,77,0.45,0.46,0.33,0.34,1.58
"15382","Terence Davis","SG","TOR",2020,22,64,0.1,0.76,0.7,0.01,1.58
"588","Andre Miller","PG","DEN",2006,29,82,0.57,0.17,0.3,0.54,1.57
"1844","Brendan Haywood","C","WAS",2005,25,68,0.59,0.78,0.19,0.01,1.57
"6131","Gorgui Dieng","C","MIN",2015,25,73,0.76,0.3,0.3,0.21,1.57
"9716","Kristaps Porzingis","PF","NYK",2017,21,66,0.81,0.15,0.33,0.28,1.57
"10681","Marc Gasol","C","MEM",2009,24,82,0.64,0.54,0.19,0.21,1.57
"15192","Steve Nash","PG","LAL",2013,38,50,0.47,0.65,0.37,0.08,1.57
"15747","Tobias Harris","SF","ORL",2015,22,68,0.64,0.11,0.41,0.41,1.57
"15798","Tom Chambers","PF","SEA",1988,28,82,0.66,0.41,0.22,0.28,1.57
"16318","Tyreke Evans","SG","NOP",2016,26,25,0.93,-0.09,0.85,-0.12,1.57
"69","Aaron McKie","SF","PHI",2004,31,75,-0.04,0.3,0.7,0.61,1.56
"3407","Dale Ellis","SG","SAS",1993,32,82,0.23,0.39,0.41,0.54,1.56
"4314","Derek Harper","PG","DAL",1992,30,65,0.64,-0.31,0.63,0.61,1.56
"4444","Derrick Williams","SF","NYK",2016,24,80,0.76,0.52,0.33,-0.05,1.56
"4542","Devin Harris","PG","NJN , UTA",2011,27,71,0.76,-0.05,0.44,0.41,1.56
"6068","Glen Rice","SF","MIA",1993,25,82,0.23,0.11,0.48,0.74,1.56
"12123","Nate McMillan","SG","SEA",1991,26,78,-0.04,0.02,1.11,0.47,1.56
"12137","Nate Robinson","PG","GSW",2012,27,51,0.96,0.35,0.37,-0.12,1.56
"362","Allan Houston","SG","NYK",1998,26,82,0.25,0.19,0.44,0.67,1.55
"1420","Billy Owens","PF","GSW",1993,23,37,0.69,-0.09,0.81,0.14,1.55
"1518","Bo Outlaw","PF","LAC",1996,24,80,0.37,0.35,0.81,0.01,1.55
"3042","Cliff Levingston","PF","ATL",1986,25,81,0.15,0.81,0.37,0.21,1.55
"4150","Dell Curry","SG","CHH",1995,30,69,0.35,0.02,0.78,0.41,1.55
"5753","Fred Roberts","C","MIL",1993,32,79,0.35,0.65,0.48,0.08,1.55
"5926","George Lynch","SF","PHI",2000,29,75,-0.09,0.44,0.59,0.61,1.55
"6111","Goran Dragic","PG","MIA",2018,31,75,0.62,0.26,0.33,0.34,1.55
"6152","Grant Hill","SF","PHO",2009,36,82,0.27,0.22,0.52,0.54,1.55
"9409","Kevin Garnett","SF","MIN",1996,19,80,0.42,0,0.59,0.54,1.55
"13627","Ricky Rubio","PG","PHO",2020,29,57,0.54,0.31,0.48,0.21,1.55
"14354","Samuel Dalembert","C","MIL",2013,31,47,1.1,0.83,0,-0.38,1.55
"14868","Sidney Moncrief","SG","MIL",1988,30,56,0.27,0.57,0.55,0.14,1.55
"16119","Tree Rollins","C","ATL",1981,25,40,0.1,0.52,0.85,0.08,1.55
"499","Amar'e Stoudemire","PF","NYK",2012,29,47,0.88,0.67,0.11,-0.12,1.54
"859","Anthony Mason","PF","NYK",1993,26,81,-0.29,0.94,0.41,0.47,1.54
"1345","Bill Garnett","C","DAL",1983,22,75,0.23,0.76,0.48,0.08,1.54
"2112","Buck Williams","PF","NJN",1985,24,82,0.64,0.44,0.11,0.34,1.54
"3030","Clemon Johnson","C","IND",1981,24,81,0.37,0.3,0.59,0.28,1.54
"3410","Dale Ellis","SF","DEN",1996,35,81,0.15,0.41,0.44,0.54,1.54
"4021","David Wesley","PG","CHH",1998,27,81,0.27,0.11,0.48,0.67,1.54
"4811","Dorell Wright","SF","GSW",2011,25,82,0.23,-0.07,0.52,0.87,1.54
"6295","Greg Ostertag","C","UTA",1997,23,77,0.3,1.18,0.11,-0.05,1.54
"6462","Hedo Turkoglu","SF","SAC",2002,22,80,0.03,0.65,0.52,0.34,1.54
"7018","Jamal Murray","PG","DEN",2019,21,75,0.47,0.15,0.44,0.47,1.54
"10460","Luis Scola","PF","HOU",2011,30,74,1.06,0.33,0.07,0.08,1.54
"12020","Mookie Blaylock","PG","NJN",1992,24,72,0.27,0,0.59,0.67,1.54
"12544","P.J. Tucker","SF","PHO",2014,28,81,-0.19,0.46,0.59,0.67,1.54
"12755","Paul Pressey","SG","MIL",1990,31,57,0.45,0.19,0.7,0.21,1.54
"13822","Rodney McCray","PF","DAL",1991,29,74,0.13,0.15,0.59,0.67,1.54
"14407","Scott Brooks","PG","HOU",1993,27,82,0.01,0.98,0.48,0.08,1.54
"257","Alan Henderson","PF","PHI",2007,34,38,0.4,1.65,0,-0.52,1.53
"2613","Chauncey Billups","SG","LAC",2012,35,20,0.49,0.8,0.55,-0.32,1.53
"3076","Clifford Robinson","PF","PHO",2001,34,82,0.18,0.06,0.55,0.74,1.53
"6162","Grant Long","PF","MIA",1993,26,76,0.15,0.43,0.41,0.54,1.53
"7180","James Singleton","PF","DAL",2009,27,62,0.57,1.31,0.04,-0.38,1.53
"9162","Ken Norman","SF","LAC",1991,26,70,0.57,0.15,0.41,0.41,1.53
"12536","P.J. Brown","PF","NOH",2005,35,82,0.35,0.48,0.3,0.41,1.53
"13793","Rod Strickland","PG","MIA",2002,35,76,0.37,0.2,0.48,0.47,1.53
"467","Alvin Robertson","SG","MIL",1992,29,82,0.23,-0.39,0.81,0.87,1.52
"724","Andris Biedrins","C","GSW",2007,20,82,0.52,0.81,0.11,0.08,1.52
"5457","Eric Piatkowski","SG","LAC",2001,30,81,0.13,0.57,0.48,0.34,1.52
"5724","Fred Brown","SG","SEA",1984,35,71,0.74,0.35,0.48,-0.05,1.52
"8439","John Shumate","PF","SAS , DET",1980,27,65,0.47,0.63,0.41,0.01,1.52
"11802","Mike Muscala","C","ATL",2017,25,70,0.08,0.74,0.63,0.08,1.52
"13071","Ralph Sampson","PF","HOU",1986,25,79,0.69,-0.15,0.37,0.61,1.52
"10797","Marcus Thornton","SG","SAC , NOH",2011,23,73,0.59,0.06,0.59,0.28,1.51
"12079","Muggsy Bogues","PG","CHH",1993,28,81,0.1,0.15,0.52,0.74,1.51
"12615","Patrick Ewing","PF","NYK",1987,24,63,1.18,-0.31,0.37,0.28,1.51
"15175","Steve Mix","SF","MIL , LAL",1983,35,58,0.25,0.93,0.52,-0.19,1.51
"16837","Will Perdue","C","SAS",1998,32,79,0.18,1.09,0.3,-0.05,1.51
"691","Andrew Lang","C","PHO",1990,23,74,-0.21,0.96,0.74,0.01,1.5
"9690","Kosta Koufos","C","SAC",2018,28,71,0.84,0.78,0.07,-0.19,1.5
"10244","Lewis Lloyd","SG","HOU",1984,24,82,0.54,-0.13,0.48,0.61,1.5
"10908","Mark Eaton","C","UTA",1985,28,82,-0.12,0.02,0.66,0.94,1.5
"12639","Patrick Patterson","PF","HOU",2011,21,52,0.64,0.78,0.33,-0.25,1.5
"14336","Samaki Walker","PF","LAL",2002,25,69,0.1,1.13,0.26,0.01,1.5
"16663","Walt Williams","SF","TOR",1997,26,73,0.2,0.11,0.52,0.67,1.5
"16689","Walter Herrmann","PF","CHA",2007,27,48,0.49,0.61,0.52,-0.12,1.5
"16997","Zach LaVine","SG","CHI",2019,23,63,1.13,-0.55,0.52,0.41,1.5
"2129","Buddy Hield","SG","SAC",2020,27,64,0.54,-0.33,0.74,0.54,1.49
"3308","Cuttino Mobley","SG","HOU",2002,26,74,0.64,-0.09,0.33,0.61,1.49
"3472","Damon Stoudamire","PG","POR",2002,28,75,0.15,0.39,0.41,0.54,1.49
"3826","Darren Collison","PG","DAL",2013,25,81,0.54,0.41,0.26,0.28,1.49
"4614","Dino Radja","PF","BOS",1995,27,66,0.93,0.19,0.22,0.14,1.49
"4666","Doc Rivers","PG","NYK",1994,32,19,-0.29,1,1.03,-0.25,1.49
"4795","Donyell Marshall","PF","GSW",2000,26,64,0.74,-0.07,0.48,0.34,1.49
"6824","Ja Morant","PG","MEM",2020,20,59,0.96,0.02,0.37,0.14,1.49
"7000","Jamal Crawford","SG","LAC",2015,34,64,0.62,0.19,0.48,0.21,1.49
"8533","Johnny Moore","PG","SAS",1981,22,82,0.42,0.13,0.66,0.28,1.49
"9233","Kenny Carr","PF","CLE",1981,25,81,0.71,0.28,0.22,0.28,1.49
"11301","Maurice Lucas","PF","PHO",1983,30,77,0.49,0.74,0.11,0.14,1.49
"13482","Richard Jefferson","SF","NJN",2005,24,33,0.62,-0.11,0.78,0.21,1.49
"14441","Scott May","SF","CHI",1981,26,63,0.76,0.65,0.33,-0.25,1.49
"15024","Stephen Curry","PG","GSW",2010,21,80,0.54,-0.28,0.48,0.74,1.49
"262","Alan Williams","C","PHO",2017,24,47,1.32,0.93,-0.26,-0.52,1.48
"503","Amar'e Stoudemire","C","MIA",2016,33,52,0.79,1.07,0,-0.38,1.48
"1468","Bismack Biyombo","C","TOR",2016,23,82,0.2,1.18,0.15,-0.05,1.48
"4439","Derrick White","SG","SAS",2020,25,61,0.45,0.33,0.55,0.14,1.48
"5263","Elden Campbell","PF","CHH",2001,32,78,0.57,0.72,0.11,0.08,1.48
"8187","Joe Smith","PF","MIL",2004,28,76,0.62,0.78,0.07,0.01,1.48
"8309","John Crotty","PG","MIA",1997,27,48,0.05,1.55,0.26,-0.38,1.48
"10442","Lucious Harris","SG","DAL",1995,24,79,0.25,0.46,0.55,0.21,1.48
"11090","Marreese Speights","C","GSW",2015,27,76,1.32,1.22,-0.48,-0.58,1.48
"11868","Mike Woodson","SG","KCK",1985,26,78,0.84,0.17,0.33,0.14,1.48
"12862","Phil Hubbard","SF","CLE",1985,28,76,0.47,0.54,0.26,0.21,1.48
"14012","Ronny Turiaf","C","NYK",2011,28,64,-0.12,0.78,0.74,0.08,1.48
"15365","Tayshaun Prince","SF","DET",2006,25,82,0.18,0.43,0.33,0.54,1.48
"337","Alexander Volkov","C","ATL",1992,27,77,0.35,0.07,0.78,0.28,1.47
"1051","Armen Gilliam","PF","MIL",1998,33,82,0.57,0.5,0.26,0.14,1.47
"1714","Brad Davis","PG","DAL",1988,32,75,0.1,0.7,0.52,0.14,1.47
"2424","Cedric Maxwell","SF","BOS",1985,29,57,0.03,1.02,0.41,0.01,1.47
"2576","Charlie Villanueva","PF","DAL",2015,30,64,0.81,0.07,0.78,-0.19,1.47
"6501","Herb Williams","C","IND",1983,24,78,0.81,-0.46,0.52,0.61,1.47
"12610","Patrick Beverley","PG","LAC",2020,31,48,-0.43,0.63,1,0.28,1.47
"13029","Rafer Alston","PG","MIA",2004,27,82,-0.09,0.33,0.55,0.67,1.47
"15896","Tony Allen","SG","BOS",2007,25,33,0.71,0.35,0.59,-0.19,1.47
"15941","Tony Campbell","SG","MIN",1990,27,82,0.74,-0.2,0.33,0.61,1.47
"511","Amir Johnson","PF","TOR",2010,22,82,0.64,1.07,0,-0.25,1.46
"1451","Bimbo Coles","PG","MIA",1993,24,81,0.15,0.56,0.41,0.34,1.46
"1926","Brian Grant","C","MIA",2003,30,82,0.37,0.87,0.07,0.14,1.46
"2520","Charles Oakley","PF","NYK",1995,31,50,0.05,0.85,0.48,0.08,1.46
"3968","David Lee","PF","GSW",2011,27,73,0.91,0.33,0.07,0.14,1.46
"5892","George Gervin","SG","SAS",1985,32,72,1.08,0.26,0.11,0.01,1.46
"6048","Gilbert Arenas","PG","WAS",2008,26,13,1.01,-0.41,1.11,-0.25,1.46
"10750","Marcus Camby","C","DEN",2003,28,29,0.84,0.5,0.44,-0.32,1.46
"11150","Marvin Williams","PF","CHO",2018,31,78,-0.04,0.5,0.59,0.41,1.46
"11721","Mike Glenn","SG","ATL",1984,28,81,0.35,0.59,0.44,0.08,1.46
"12281","Nicolas Batum","SG","CHO",2017,28,77,0.42,-0.15,0.52,0.67,1.46
"12787","Peja Stojakovic","SF","NOK",2007,29,13,0.42,0.15,1.14,-0.25,1.46
"15328","Taj Gibson","PF","CHI",2016,30,73,0.4,0.76,0.22,0.08,1.46
"354","Allan Bristow","SF","UTA",1980,28,82,0.62,-0.02,0.44,0.41,1.45
"1277","Beno Udrih","PG","SAC",2010,27,79,0.4,0.28,0.37,0.41,1.45
"2649","Chris Andersen","C","MEM , MIA",2016,37,27,0.3,1.05,0.48,-0.38,1.45
"4561","Dewayne Dedmon","C","ORL",2016,26,58,0.71,1.29,-0.11,-0.45,1.45
"4564","Dewayne Dedmon","C","ATL",2019,29,64,0.47,0.5,0.41,0.08,1.45
"5458","Eric Piatkowski","SG","LAC",2002,31,71,-0.07,0.65,0.59,0.28,1.45
"6781","J.J. Redick","SG","ORL",2011,26,59,-0.31,0.93,0.63,0.21,1.45
"7705","Jeff Teague","PG","MIN",2018,29,70,0.57,0.17,0.37,0.34,1.45
"8483","John Wall","PG","WAS",2012,21,66,0.88,-0.39,0.48,0.47,1.45
"9451","Kevin Johnson","PG","PHO",1998,31,50,0.37,0.72,0.41,-0.05,1.45
"14276","Sam Mack","SF","VAN , HOU",1999,28,44,0.32,0.63,0.55,-0.05,1.45
"14672","Shane Battier","SG","HOU",2009,30,60,-0.82,0.57,0.96,0.74,1.45
"16810","Will Barton","SG","DEN",2016,25,82,0.47,-0.07,0.52,0.54,1.45
"17008","Zach Randolph","PF-C","LAC , NYK",2009,27,50,1.35,-0.17,0.26,0.01,1.45
"3813","Darrell Walker","PG","NYK",1984,22,82,0.45,-0.17,0.89,0.28,1.44
"4656","Doc Rivers","PG","ATL",1984,22,81,0.2,0.2,0.63,0.41,1.44
"7322","Jarrett Jack","PG","TOR",2010,26,82,0.54,0.19,0.37,0.34,1.44
"8888","Junior Bridgeman","SF","MIL",1983,29,70,0.49,0.61,0.26,0.08,1.44
"10086","LaSalle Thompson","C","KCK",1984,22,80,0.69,0.56,0.19,0.01,1.44
"12449","Orlando Woolridge","SF","CHI",1983,23,57,0.71,0.28,0.37,0.08,1.44
"13596","Ricky Davis","SF","MIN",2007,27,81,0.45,-0.02,0.41,0.61,1.44
"14119","Rudy Gay","SF","MEM , TOR",2013,26,75,0.37,-0.37,0.63,0.8,1.44
"14247","Sam Cassell","PG","HOU",1995,25,82,0.45,0.52,0.33,0.14,1.44
"14889","Sleepy Floyd","PG","HOU",1990,29,82,0.03,0.43,0.44,0.54,1.44
"16060","Tracy Murray","SF","POR",1994,22,66,0.3,0.63,0.63,-0.12,1.44
"68","Aaron McKie","SF","PHI",2003,30,80,-0.09,0.22,0.63,0.67,1.43
"1679","Boris Diaw","PF","CHA , PHO",2009,26,81,0.08,-0.18,0.66,0.87,1.43
"2165","Byron Scott","SG","LAL",1997,35,79,-0.14,0.83,0.59,0.14,1.43
"2322","Carlos Boozer","PF","CHI",2013,31,79,0.74,0.3,0.19,0.21,1.43
"3406","Dale Ellis","SF","MIL",1992,31,81,0.45,0.24,0.41,0.34,1.43
"3425","Damian Lillard","PG","POR",2013,22,82,0.57,-0.07,0.33,0.61,1.43
"5100","Ed Davis","C","POR",2018,28,78,0.35,1.33,0,-0.25,1.43
"7069","James Donaldson","C","SEA",1981,23,68,0.45,0.59,0.52,-0.12,1.43
"7763","Jeremy Lamb","SG","CHO",2017,24,62,0.71,0.43,0.41,-0.12,1.43
"8668","Jordan Crawford","SG","NOP",2017,28,19,0.86,0.19,0.7,-0.32,1.43
"9749","Kurt Thomas","C","NYK",2003,30,81,0.64,0.15,0.3,0.34,1.43
"10459","Luis Scola","PF","HOU",2010,29,82,0.76,0.41,0.11,0.14,1.43
"11015","Mark West","C","PHO",1989,28,82,-0.29,0.72,0.59,0.41,1.43
"11642","Mike Bibby","PG","SAC",2002,23,80,0.2,0.39,0.37,0.47,1.43
"12511","Otis Thorpe","C","DET",1997,34,79,0.49,0.93,0,0.01,1.43
"12924","Purvis Short","SF","GSW",1984,26,79,0.69,0.11,0.22,0.41,1.43
"15796","Tom Chambers","PF","SEA",1986,26,66,0.74,0.43,0.19,0.08,1.43
"16373","Tyrus Thomas","PF-C","CHI , CHA",2010,23,54,0.66,0.2,0.55,0.01,1.43
"1268","Ben Wallace","PF","CLE",2009,34,56,-0.46,0.85,0.81,0.21,1.42
"1634","Bobby Phills","SG","CLE",1997,27,69,-0.04,0.17,0.63,0.67,1.42
"2801","Chris Mills","SF","CLE",1996,26,80,0.27,0.56,0.19,0.41,1.42
"2816","Chris Morris","SG","UTA",1996,30,66,0.42,0.37,0.55,0.08,1.42
"7314","Jarrett Allen","C","BRK",2018,19,72,0.84,0.91,-0.07,-0.25,1.42
"10830","Mario Elie","SG","GSW",1992,28,79,-0.09,0.65,0.59,0.28,1.42
"13686","Robert Pack","PG","DEN",1995,25,42,0.69,-0.02,0.74,0.01,1.42
"14395","Scot Pollard","C","SAC",2001,25,77,0.23,1.2,0.11,-0.12,1.42
"14448","Scott Padgett","PF","UTA",2002,25,75,0.32,0.7,0.44,-0.05,1.42
"15815","Tom Gugliotta","PF-SF","GSW , WSB",1995,25,77,0.27,-0.5,0.78,0.87,1.42
"16174","Trevor Ariza","SF","HOU",2015,29,82,-0.34,0.3,0.59,0.87,1.42
"16316","Tyreke Evans","SF","NOP",2014,24,72,1.06,-0.35,0.44,0.28,1.42
"160","Adrian Griffin","SG","DAL",2002,27,58,0.03,0.54,0.7,0.14,1.41
"400","Allen Leavell","SG","HOU",1988,30,80,0.05,0.43,0.52,0.41,1.41
"988","Antonio Davis","PF","IND",1994,25,81,0.27,0.87,0.26,0.01,1.41
"1421","Billy Owens","PF","GSW",1994,24,79,0.37,0.13,0.37,0.54,1.41
"2091","Bryon Russell","SF","UTA",1998,27,82,-0.29,0.7,0.52,0.47,1.41
"2111","Buck Williams","PF","NJN",1984,23,81,0.42,0.46,0.19,0.34,1.41
"3140","Cole Aldrich","C","NYK",2015,26,61,0.98,0.28,0.33,-0.19,1.41
"3323","D.J. Augustin","PG","CHA",2011,23,82,0.45,0.3,0.26,0.41,1.41
"4200","DeMarre Carroll","SF","ATL",2014,27,73,-0.04,0.5,0.48,0.47,1.41
"4945","Dudley Bradley","SG","IND",1981,23,82,-0.09,0.15,0.81,0.54,1.41
"5052","Earl Boykins","PG","MIL , DEN",2007,30,66,0.52,0.24,0.37,0.28,1.41
"7748","Jerami Grant","PF","OKC",2019,24,80,-0.07,0.78,0.3,0.41,1.41
"8369","John Lucas","PG","GSW",1980,26,80,0.3,0.2,0.37,0.54,1.41
"9174","Kendall Gill","SG","CHH , NJN",1996,27,47,0.35,-0.02,0.74,0.34,1.41
"9441","Kevin Johnson","PG","CLE , PHO",1988,21,80,0.35,0.17,0.55,0.34,1.41
"11784","Mike Miller","SF","MIA",2013,32,59,-0.14,0.83,0.78,-0.05,1.41
"12607","Patrick Beverley","SG","HOU",2017,28,67,-0.26,0.57,0.63,0.47,1.41
"13486","Richard Jefferson","SF","MIL",2009,28,82,0.32,0.31,0.3,0.47,1.41
"14248","Sam Cassell","PG","HOU",1996,26,61,0.66,0.33,0.33,0.08,1.41
"392","Allen Leavell","PG","HOU",1980,22,77,0.25,-0.02,0.63,0.54,1.4
"3545","Dana Barros","PG","PHI",1994,26,81,0.47,-0.05,0.44,0.54,1.4
"4129","DeJuan Blair","PF","SAS",2011,21,81,0.74,0.74,0.04,-0.12,1.4
"4162","Delon Wright","PG","TOR",2017,24,27,0.23,0.46,0.96,-0.25,1.4
"5676","Frank Brickowski","PF","MIL",1991,31,75,0.57,0.5,0.26,0.08,1.4
"7761","Jeremy Lamb","SG","OKC",2015,22,47,0.2,0.57,0.81,-0.19,1.4
"8847","Jud Buechler","SF","DET",1999,30,50,-0.46,0.72,1,0.14,1.4
"9105","Kelly Olynyk","PF","MIA",2019,27,79,0.08,0.63,0.48,0.21,1.4
"10038","Larry Nance Jr.","PF","LAL",2017,24,63,0.4,0.48,0.44,0.08,1.4
"11434","Michael Cage","C","CLE",1996,34,82,0.01,1.04,0.15,0.21,1.4
"11447","Michael Cooper","SG","LAL",1982,25,76,0.05,0.31,0.55,0.47,1.4
"11717","Mike Glenn","SG","NYK",1980,24,75,0.62,0.63,0.41,-0.25,1.4
