"","Player","Pos","Team","year","Age","G","PERz","WSper48z","BPMz","VORPz","score"
"9192","Kendrick Perkins","C","BOS",2007,22,72,-1.12,-0.92,-0.74,-0.78,-3.56
"10733","Marco Belinelli","SG","SAS",2020,33,52,-0.95,-1.05,-0.85,-0.71,-3.56
"11123","Marty Conlon","C","MIL",1996,28,74,-0.46,-1.18,-1.07,-0.85,-3.56
"12990","Quinton Ross","SG","LAC",2005,23,78,-1.26,-0.78,-0.74,-0.78,-3.56
"14625","Sergio Rodriguez","PG","PHI",2017,30,68,-0.73,-1.28,-0.77,-0.78,-3.56
"15091","Steve Blake","PG","LAL",2011,30,79,-1.61,-0.68,-0.63,-0.65,-3.56
"474","Alvin Scott","SF","PHO",1984,28,65,-1.58,-0.79,-0.59,-0.58,-3.55
"1276","Beno Udrih","PG","SAC",2009,26,73,-0.43,-1.22,-0.92,-0.98,-3.55
"1403","Bill Willoughby","SF","SAS , NJN",1983,25,62,-1.29,-0.78,-0.77,-0.71,-3.55
"2280","Carl Herrera","PF","HOU",1994,27,75,-1.22,-0.31,-1.11,-0.91,-3.55
"7167","James Robinson","PG","POR",1994,23,58,-1,-1.42,-0.55,-0.58,-3.55
"7785","Jerian Grant","PG","NYK",2016,23,76,-0.7,-1.15,-0.92,-0.78,-3.55
"9035","Keith Askins","SF","MIA",1992,24,59,-1.31,-0.96,-0.63,-0.65,-3.55
"13464","Richard Dumas","PF","PHI",1996,26,39,-0.68,-1.31,-0.85,-0.71,-3.55
"14333","Samaki Walker","PF","DAL",1999,22,39,-0.36,-0.83,-1.51,-0.85,-3.55
"948","Antoine Carr","PF","UTA",1998,36,66,-1.04,-0.44,-1.14,-0.91,-3.54
"1426","Billy Owens","SF","SEA",1999,29,21,-0.53,-1.37,-0.99,-0.65,-3.54
"1796","Brandon Goodwin","PG","ATL",2020,24,34,-0.58,-1.46,-0.85,-0.65,-3.54
"2327","Carlos Delfino","SG","DET",2005,22,30,-1.34,-0.81,-0.74,-0.65,-3.54
"2793","Chris Mihm","C","CLE",2003,23,52,-0.21,-0.72,-1.62,-0.98,-3.54
"3033","Clemon Johnson","C","PHI",1984,27,80,-1.22,-0.59,-0.88,-0.85,-3.54
"5193","Eddie Jordan","PG","LAL , NJN",1981,26,74,-0.9,-1.26,-0.74,-0.65,-3.54
"5670","Frank Brickowski","C","SEA",1985,25,78,-0.87,-0.92,-0.96,-0.78,-3.54
"7189","James White","SF","NYK",2013,30,57,-1.22,-0.76,-0.92,-0.65,-3.54
"8672","Jordan Farmar","PG","LAL",2009,22,65,-1.02,-1.07,-0.74,-0.71,-3.54
"9370","Kevin Duckworth","C","POR",1992,27,82,-0.87,-0.39,-1.11,-1.18,-3.54
"14990","Stacey King","C","CHI , MIN",1994,27,49,-0.6,-0.94,-1.14,-0.85,-3.54
"1687","Boris Diaw","PF","UTA",2017,34,73,-1.24,-0.94,-0.7,-0.65,-3.53
"1928","Brian Grant","C","LAL",2005,32,69,-1,-0.44,-1.18,-0.91,-3.53
"3674","Danny Schayes","C","MIL",1992,32,43,-0.82,-0.57,-1.29,-0.85,-3.53
"5908","George Johnson","PF","IND",1982,25,59,-0.43,-0.96,-1.29,-0.85,-3.53
"6137","Grant Gondrezick","SG","PHO",1987,24,64,-0.78,-1.02,-0.96,-0.78,-3.53
"6883","Jacque Vaughn","PG","SAS",2008,32,74,-1.19,-0.42,-1.07,-0.85,-3.53
"8162","Joe Kleine","C","BOS",1993,31,78,-1.09,-0.52,-1.07,-0.85,-3.53
"10844","Mario Hezonja","PF","POR",2020,24,47,-1.12,-0.85,-0.85,-0.71,-3.53
"12006","Monty Williams","SF","ORL",2001,29,82,-0.75,-0.76,-1.11,-0.91,-3.53
"12466","Othella Harrington","PF","HOU",1997,23,57,-0.8,-0.24,-1.51,-0.98,-3.53
"12800","Perry Moss","PG","GSW",1987,28,64,-0.95,-1.24,-0.7,-0.65,-3.53
"13161","Randy Wittman","SG","ATL",1984,24,78,-1.17,-0.7,-0.88,-0.78,-3.53
"14947","Spencer Hawes","C","SAC",2009,20,77,-0.26,-1.4,-0.88,-0.98,-3.53
"15386","Terence Stansbury","SG","IND",1985,23,74,-0.92,-0.67,-1.03,-0.91,-3.53
"90","Abdel Nader","SF","OKC",2019,25,61,-1.29,-0.55,-0.96,-0.71,-3.52
"963","Antoine Walker","PF","MIN",2008,31,46,-0.65,-1.63,-0.59,-0.65,-3.52
"1813","Brandon Knight","PG","DET",2013,21,75,-0.51,-1.29,-0.81,-0.91,-3.52
"2237","Calvin Garrett","SF","HOU",1981,24,70,-1.29,-0.96,-0.63,-0.65,-3.52
"5579","Eugene Jeter","PG","SAC",2011,27,62,-0.73,-1.02,-0.99,-0.78,-3.52
"5585","Evan Fournier","SG","DEN",2014,21,76,-0.92,-0.91,-0.85,-0.85,-3.52
"5642","Festus Ezeli","C","GSW",2013,23,78,-1.17,-0.48,-1.03,-0.85,-3.52
"6700","Isaiah Rider","SG","LAL",2001,29,67,-0.56,-1.09,-1.03,-0.85,-3.52
"7275","Jared Jeffries","PF","NYK , HOU",2011,29,42,-1.48,-0.87,-0.59,-0.58,-3.52
"7423","Jason Maxiell","PF","DET",2013,29,72,-0.68,-0.83,-1.03,-0.98,-3.52
"7647","Jeff Lamp","SF","POR",1983,23,59,-1,-0.85,-0.96,-0.71,-3.52
"11905","Milt Palacio","PG-SG","BOS , PHO",2002,23,69,-1.07,-0.78,-0.96,-0.71,-3.52
"12034","Morlon Wiley","PG","ORL",1990,23,40,-0.68,-1.53,-0.66,-0.65,-3.52
"13159","Randy White","PF","DAL",1993,25,64,-0.21,-1.22,-1.11,-0.98,-3.52
"14655","Shandon Anderson","SG","UTA",1997,23,65,-0.9,-0.67,-1.11,-0.85,-3.52
"16191","Trevor Wilson","PF","SAC , LAL",1994,25,57,-0.56,-1.13,-0.99,-0.85,-3.52
"16493","Vin Baker","C","BOS",2003,31,52,-0.85,-0.18,-1.51,-0.98,-3.52
"697","Andrew Lang","C","ATL , MIN",1996,29,71,-0.53,-0.83,-1.03,-1.11,-3.51
"1463","Bingo Smith","SF-SG","SDC , CLE",1980,33,78,-0.68,-0.83,-0.96,-1.05,-3.51
"3704","Dante Cunningham","PF","NOP",2015,27,66,-1.26,-0.83,-0.7,-0.71,-3.51
"5501","Erick Dampier","C","IND",1997,21,72,-0.56,-0.96,-1.14,-0.85,-3.51
"7338","Jarron Collins","C","UTA",2007,28,82,-1.48,-0.46,-0.85,-0.71,-3.51
"7368","Jason Collins","C","NJN",2005,26,80,-1.34,-0.35,-0.85,-0.98,-3.51
